d_lat,seed,step,true_sig,true_null,emp_sig,emp_null,ref_sig,ref_null,total_true
40,46,1000000,3.106353998184204,1.7525070905685425,9.727760314941406,3.36533522605896,12.962045669555664,4.965951919555664,1.921738052368164
40,46,2000000,3.904419422149658,1.9062482118606567,9.401044845581055,3.2778244018554688,12.962045669555664,4.965951919555664,2.156019592285156
40,46,3000000,4.2959675788879395,1.941896915435791,9.294163703918457,3.217437267303467,12.962045669555664,4.965951919555664,2.236155700683594
40,46,5000000,4.641965389251709,2.0303738117218018,9.256617546081543,3.1737780570983887,12.962045669555664,4.965951919555664,2.356822967529297
5,42,50000,0.21887405216693878,nan,2.9533631801605225,nan,3.602393388748169,nan,0.21887407302856446
5,42,250000,1.730116605758667,nan,1.5003890991210938,nan,3.602393388748169,nan,1.7301166534423829
5,42,500000,2.0616722106933594,nan,1.1774094104766846,nan,3.602393388748169,nan,2.0616722106933594
5,42,1000000,2.1106743812561035,nan,1.0389848947525024,nan,3.602393388748169,nan,2.1106744766235352
5,42,2000000,2.3670074939727783,nan,0.8766860961914062,nan,3.602393388748169,nan,2.3670074462890627
5,42,3000000,2.426283121109009,nan,0.8062512278556824,nan,3.602393388748169,nan,2.426283073425293
5,42,5000000,2.5767881870269775,nan,0.7630936503410339,nan,3.602393388748169,nan,2.576788330078125
5,43,50000,0.20131275057792664,nan,3.061960220336914,nan,3.6972243785858154,nan,0.20131278038024902
5,43,250000,1.806110143661499,nan,1.5529603958129883,nan,3.6972243785858154,nan,1.8061101913452149
5,43,500000,2.152162790298462,nan,1.2139410972595215,nan,3.6972243785858154,nan,2.1521627426147463
5,43,1000000,2.363572359085083,nan,1.0427039861679077,nan,3.6972243785858154,nan,2.363572120666504
5,43,2000000,2.507093667984009,nan,0.8766536712646484,nan,3.6972243785858154,nan,2.507093811035156
5,43,3000000,2.4739773273468018,nan,0.8343912363052368,nan,3.6972243785858154,nan,2.473977279663086
5,43,5000000,2.6635286808013916,nan,0.7551342248916626,nan,3.6972243785858154,nan,2.663528633117676
5,44,50000,0.2678360342979431,nan,3.056936025619507,nan,3.8595967292785645,nan,0.26783602237701415
5,44,250000,2.000516414642334,nan,1.5123913288116455,nan,3.8595967292785645,nan,2.0005165100097657
5,44,500000,2.1915321350097656,nan,1.2461588382720947,nan,3.8595967292785645,nan,2.1915321350097656
5,44,1000000,2.4176998138427734,nan,1.035704255104065,nan,3.8595967292785645,nan,2.41769962310791
5,44,2000000,2.6088409423828125,nan,0.9160453677177429,nan,3.8595967292785645,nan,2.608840751647949
5,44,3000000,2.6242120265960693,nan,0.8436629176139832,nan,3.8595967292785645,nan,2.624211883544922
5,44,5000000,2.7483463287353516,nan,0.7765704989433289,nan,3.8595967292785645,nan,2.748346138000488
5,45,50000,0.1814391314983368,nan,3.1522250175476074,nan,3.706641435623169,nan,0.1814391255378723
5,45,250000,1.7656021118164062,nan,1.5996983051300049,nan,3.706641435623169,nan,1.7656021118164062
5,45,500000,2.0308361053466797,nan,1.2905375957489014,nan,3.706641435623169,nan,2.0308361053466797
5,45,1000000,2.2208616733551025,nan,1.0842411518096924,nan,3.706641435623169,nan,2.2208614349365234
5,45,2000000,2.38582181930542,nan,0.9710710644721985,nan,3.706641435623169,nan,2.385821723937988
5,45,3000000,2.560300350189209,nan,0.9028308987617493,nan,3.706641435623169,nan,2.5603004455566407
5,45,5000000,2.5835018157958984,nan,0.8443735241889954,nan,3.706641435623169,nan,2.5835018157958984
5,46,50000,0.21697187423706055,nan,3.0080790519714355,nan,3.686933994293213,nan,0.21697187423706055
5,46,250000,1.8222897052764893,nan,1.5643253326416016,nan,3.686933994293213,nan,1.8222896575927734
5,46,500000,2.2465243339538574,nan,1.189080834388733,nan,3.686933994293213,nan,2.246524429321289
5,46,1000000,2.377962589263916,nan,1.0147178173065186,nan,3.686933994293213,nan,2.3779626846313477
5,46,2000000,2.514113664627075,nan,0.8841956853866577,nan,3.686933994293213,nan,2.514113426208496
5,46,3000000,2.5604212284088135,nan,0.855751633644104,nan,3.686933994293213,nan,2.560421180725098
5,46,5000000,2.666508436203003,nan,0.7758607268333435,nan,3.686933994293213,nan,2.666508102416992
