seed,folder,d,step,mem
44,d20,20,220000,
44,d20,20,230000,
44,d20,20,240000,
44,d20,20,250000,
44,d20,20,260000,
44,d20,20,270000,
44,d20,20,280000,
44,d20,20,290000,
44,d20,20,300000,0.0013000000035390258
44,d20,20,310000,
44,d20,20,320000,
44,d20,20,330000,
44,d20,20,340000,
44,d20,20,350000,
44,d20,20,360000,
44,d20,20,370000,
44,d20,20,380000,
44,d20,20,390000,
44,d20,20,400000,0.0020000000949949026
44,d20,20,410000,
44,d20,20,420000,
44,d20,20,430000,
44,d20,20,440000,
44,d20,20,450000,
44,d20,20,460000,
44,d20,20,470000,
44,d20,20,480000,
44,d20,20,490000,
44,d20,20,500000,0.0017000000225380063
44,d20,20,510000,
44,d20,20,520000,
44,d20,20,530000,
44,d20,20,540000,
44,d20,20,550000,
44,d20,20,560000,
44,d20,20,570000,
44,d20,20,580000,
44,d20,20,590000,
44,d20,20,600000,0.0031999999191612005
44,d20,20,610000,
44,d20,20,620000,
44,d20,20,630000,
44,d20,20,640000,
44,d20,20,650000,
44,d20,20,660000,
44,d20,20,670000,
44,d20,20,680000,
44,d20,20,690000,
44,d20,20,700000,0.004000000189989805
44,d20,20,710000,
44,d20,20,720000,
44,d20,20,730000,
44,d20,20,740000,
44,d20,20,750000,
44,d20,20,760000,
44,d20,20,770000,
44,d20,20,780000,
44,d20,20,790000,
44,d20,20,800000,0.00430000014603138
44,d20,20,810000,
44,d20,20,820000,
44,d20,20,830000,
44,d20,20,840000,
44,d20,20,850000,
44,d20,20,860000,
44,d20,20,870000,
44,d20,20,880000,
44,d20,20,890000,
44,d20,20,900000,0.006500000134110451
44,d20,20,910000,
44,d20,20,920000,
44,d20,20,930000,
44,d20,20,940000,
44,d20,20,950000,
44,d20,20,960000,
44,d20,20,970000,
44,d20,20,980000,
44,d20,20,990000,
44,d20,20,1000000,0.007199999876320362
44,d20,20,1010000,
44,d20,20,1020000,
44,d20,20,1030000,
44,d20,20,1040000,
44,d20,20,1050000,
44,d20,20,1060000,
44,d20,20,1070000,
44,d20,20,1080000,
44,d20,20,1090000,
