d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
80.0,0.25,1840000.0,54772.25575051661,68008.73806582569,5.0,0.0,1769296.5543244889,-70703.44567551115,-0.03918353096548844,0.8714656685381458,1e-06
80.0,0.5,,,,0.0,5.0,2907867.4852582742,,,0.9658122228431161,1e-06
80.0,0.75,,,,0.0,5.0,2907867.4852582742,,,0.9658122228431161,1e-06
100.0,0.01,320000.0,44721.359549995796,55528.902103955974,5.0,0.0,547034.871630515,227034.87163051497,0.5361915552918596,0.370553725107513,1e-06
100.0,0.05,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,901805.1179704783,181805.11797047826,0.2251472292440766,0.5863952509446246,1e-06
100.0,0.1,1120000.0,44721.359549995796,55528.902103955974,5.0,0.0,1178702.774097007,58702.774097007,0.051085804463144695,0.7021865285577539,1e-06
100.0,0.25,1740000.0,54772.25575051661,68008.73806582569,5.0,0.0,1912929.027838515,172929.02783851488,0.09475047661586602,0.8714656685381458,1e-06
100.0,0.5,3160000.0,54772.25575051661,68008.73806582569,5.0,0.0,3158273.3623307357,-1726.637669264339,-0.0005465536589601217,0.9658122228431161,1e-06
100.0,0.75,,,,0.0,5.0,3158273.3623307357,,,0.9658122228431161,1e-06
120.0,0.01,480000.0,44721.359549995796,55528.902103955974,5.0,0.0,569929.9188207745,89929.91882077453,0.17172729993051994,0.370553725107513,1e-06
120.0,0.05,1020000.0,83666.00265340756,103885.06336835696,5.0,0.0,943240.3010977363,-76759.69890226366,-0.07823682991693767,0.5863952509446246,1e-06
120.0,0.1,1440000.0,89442.71909999159,111057.80420791195,5.0,0.0,1235431.6118097533,-204568.38819024665,-0.15322272131625003,0.7021865285577539,1e-06
120.0,0.25,2080000.0,130384.04810405297,161893.17847087063,5.0,0.0,2012359.4258238385,-67640.57417616155,-0.03306001636462281,0.8714656685381458,1e-06
120.0,0.5,3660000.0,151657.508881031,188307.6688348442,5.0,0.0,3335802.8222392104,-324197.17776078964,-0.09274977070700774,0.9658122228431161,1e-06
120.0,0.75,,,,0.0,5.0,3335802.8222392104,,,0.9658122228431161,1e-06
140.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,577304.679646071,-82695.32035392895,-0.13386966689589352,0.370553725107513,1e-06
140.0,0.05,1100000.0,100000.0,124166.39982037664,5.0,0.0,959528.7541876235,-140471.2458123765,-0.13662317590068648,0.5863952509446246,1e-06
140.0,0.1,1460000.0,114017.5425099138,141571.47769822748,5.0,0.0,1260656.058856146,-199343.94114385406,-0.14680416863264198,0.7021865285577539,1e-06
140.0,0.25,2100000.0,291547.594742265,362004.1521543722,5.0,0.0,2067069.5437602103,-32930.456239789724,-0.01580541981574312,0.8714656685381458,1e-06
140.0,0.5,3375000.0,170782.5127659933,237084.13581126134,4.0,1.0,3451202.755326842,76202.75532684196,0.022327470695711435,0.9658122228431161,1e-06
140.0,0.75,,,,0.0,5.0,3451202.755326842,,,0.9658122228431161,1e-06
160.0,0.01,680000.0,44721.359549995796,55528.902103955974,5.0,0.0,605323.4240283786,-74676.57597162144,-0.11632989780818537,0.370553725107513,1e-06
160.0,0.05,1040000.0,54772.25575051661,68008.73806582569,5.0,0.0,1009533.3606332866,-30466.639366713353,-0.029732508238821807,0.5863952509446246,1e-06
160.0,0.1,1260000.0,54772.25575051661,68008.73806582569,5.0,0.0,1330500.4100707872,70500.41007078718,0.05444339868020513,0.7021865285577539,1e-06
