d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
140.0,0.01,400000.0,0.0,0.0,5.0,0.0,329086.54741478886,-70913.45258521114,-0.19514376888633453,0.2557987887176989,1.3593563908785242e-06
140.0,0.05,700000.0,0.0,0.0,5.0,0.0,561071.6233902797,-138928.3766097203,-0.22123176674253278,0.4365968761570915,1.3593563908785242e-06
140.0,0.1,920000.0,44721.359549995796,55528.902103955974,5.0,0.0,709622.9765732657,-210377.02342673426,-0.2596398599590924,0.5266252382965828,1.3593563908785242e-06
140.0,0.25,1460000.0,54772.25575051661,68008.73806582569,5.0,0.0,1282745.7096885857,-177254.29031141428,-0.12943356950598636,0.7422582976356743,1.3593563908785242e-06
140.0,0.5,2460000.0,114017.5425099138,141571.47769822748,5.0,0.0,2303586.0211474295,-156413.97885257052,-0.0656943015761382,0.8862057720584068,1.3593563908785242e-06
140.0,0.75,4850000.0,70710.67811865476,138822.25525988993,2.0,3.0,6533142.823008934,1683142.823008934,0.2979094124502859,0.975317503593595,1.3593563908785242e-06
160.0,0.01,540000.0,54772.25575051661,68008.73806582569,5.0,0.0,360298.66358308523,-179701.33641691477,-0.40463583098937733,0.2557987887176989,1.3593563908785242e-06
160.0,0.05,920000.0,83666.00265340756,103885.06336835696,5.0,0.0,631919.9237299659,-288080.0762700341,-0.37561098688264116,0.4365968761570915,1.3593563908785242e-06
160.0,0.1,1140000.0,54772.25575051661,68008.73806582569,5.0,0.0,815445.7028097693,-324554.2971902307,-0.3350487030158899,0.5266252382965828,1.3593563908785242e-06
160.0,0.25,1760000.0,134164.07864998738,166586.70631186792,5.0,0.0,1626235.1671549461,-133764.83284505387,-0.07904617913565838,0.7422582976356743,1.3593563908785242e-06
160.0,0.5,3440000.0,364691.65057620936,452824.49296598707,5.0,0.0,3729340.7950302335,289340.79503023345,0.08076001609683534,0.8862057720584068,1.3593563908785242e-06
160.0,0.75,,,,0.0,5.0,10188022.964323305,,,0.975317503593595,1.3593563908785242e-06
180.0,0.01,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,396428.5163542304,-323571.4836457696,-0.5967554738111548,0.2557987887176989,1.3593563908785242e-06
180.0,0.05,1080000.0,44721.359549995796,55528.902103955974,5.0,0.0,723843.8679331015,-356156.1320668985,-0.4001406030148936,0.4365968761570915,1.3593563908785242e-06
180.0,0.1,1360000.0,54772.25575051661,68008.73806582569,5.0,0.0,962464.5181817004,-397535.4818182996,-0.3457427774744654,0.5266252382965828,1.3593563908785242e-06
180.0,0.25,2160000.0,114017.5425099138,141571.47769822748,5.0,0.0,2236365.4800879797,76365.4800879797,0.03474377287311746,0.7422582976356743,1.3593563908785242e-06
180.0,0.5,4440000.0,250998.00796022266,311655.1901050709,5.0,0.0,5540442.118870392,1100442.1188703924,0.2214199259810727,0.8862057720584068,1.3593563908785242e-06
180.0,0.75,,,,0.0,5.0,12081239.300092872,,,0.975317503593595,1.3593563908785242e-06
200.0,0.01,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,433596.3794769721,-286403.6205230279,-0.5071371118342575,0.2557987887176989,1.3593563908785242e-06
200.0,0.05,1160000.0,54772.25575051661,68008.73806582569,5.0,0.0,827716.6032457687,-332283.3967542313,-0.33750445491312625,0.4365968761570915,1.3593563908785242e-06
200.0,0.1,1560000.0,54772.25575051661,68008.73806582569,5.0,0.0,1137261.7805648306,-422738.21943516936,-0.3160623950299479,0.5266252382965828,1.3593563908785242e-06
200.0,0.25,2480000.0,109544.51150103322,136017.47613165138,5.0,0.0,2997708.0447423696,517708.04474236956,0.189589451420012,0.7422582976356743,1.3593563908785242e-06
200.0,0.5,,,,0.0,5.0,6698625.95143142,,,0.8862057720584068,1.3593563908785242e-06
200.0,0.75,,,,0.0,5.0,13173099.039553644,,,0.975317503593595,1.3593563908785242e-06
